Record_ID,Timestamp,Plant_Location,Production_Line,Machine_ID,Machine_Name,Machine_Type,Manufacturer,Model,Year_Installed,Operating_Hours,Motor_Temp_C,Ambient_Temp_C,Vibration_mm_s,RPM,Power_Draw_kW,Conveyor_Speed_m_min,Pressure_PSI,Hydraulic_Fluid_Temp_C,Noise_Level_dB,Product_Type,Batch_ID,Units_Produced,Defect_Count,Defect_Rate_Pct,Downtime_Minutes,Last_Maintenance_Date,Maintenance_Type,Days_Since_Maintenance,Firmware_Version,Sensor_Status,Error_Code,Error_Description,Operator_ID,Shift,Throughput_Units_Hr,OEE_Pct,Severity_Level,Severity_Description,Corrective_Action
REC-00109,2024-08-09 04:04:05,Milton-South,CKE-Line-A,MIL-DIV-4100-02,Volumetric Dough Divider,Dividing/Portioning,AMF Bakery,Flex Divider,2019,60804,48.8,29.5,3.49,406,31.7,3.7,106.1,35.9,70.8,English Muffins,B-20240809-7438,23461,204,0.87,5,2023-11-16,Lubrication,267,v5.1.3,All Normal,E1005,Belt tension marginal,OP-1018,Morning (6AM-2PM),2963,84.1,1,Normal Operation,Inspect belt at next downtime
REC-00156,2024-08-09 16:41:38,Mississauga-East,TRT-Line-B,MIS-ING-8800-03,Ingredient Dosing System,Ingredient Handling,Brabender,FlexWall Plus,2020,12991,52.9,20.8,0.78,2165,22.2,25.1,98.7,38.0,83.0,Whole Wheat Bread,B-20240809-9706,16993,96,0.57,0,2023-08-23,Corrective,352,v3.4.0,All Normal,E1007,Minor speed fluctuation logged,OP-1043,Morning (6AM-2PM),2124,83.7,1,Normal Operation,Log and monitor
REC-00421,2024-08-09 23:06:05,Vaughan-North,PKG-Line-G,VAU-WTR-7700-03,Reverse Osmosis Unit,Water Treatment,Pentair,RO-4800,2017,46916,54.6,22.8,1.21,1837,33.1,17.7,149.7,72.3,72.6,Donuts,B-20240809-1174,6917,89,1.3,0,2024-06-08,Inspection,62,v5.1.3,Offline — Sensor #1,E1006,Sensor reading intermittent,OP-1001,Night (10PM-6AM),865,94.3,1,Normal Operation,Clean sensor housing
REC-00235,2024-08-15 00:23:12,Milton-South,PKG-Line-F,MIL-OVN-6300-03,Spiral Oven,Baking,Spooner,QuadraTherm,2020,12702,54.1,31.1,4.32,2204,65.3,19.6,119.4,56.9,68.3,English Muffins,B-20240815-6180,22945,16,0.07,0,2024-07-18,Emergency,28,v5.0.0,All Normal,E1006,Sensor reading intermittent,OP-1007,Night (10PM-6AM),2868,90.5,1,Normal Operation,Clean sensor housing
REC-00420,2024-08-15 13:36:17,Brampton-West,BUN-Line-B,BRA-CIP-6600-01,CIP System,Sanitation,Alfa Laval,CIP Unit A3,2018,23190,64.1,25.0,8.84,580,34.0,13.0,120.6,61.8,88.9,Danish Pastry,B-20240815-6193,17889,534,2.99,75,2024-07-06,Corrective,40,v4.1.1,Degraded — Sensor #2,E2001,Motor overheating — thermal cutoff warning,OP-1041,Afternoon (2PM-10PM),2650,63.8,2,Degraded Performance,Reduce load and inspect cooling system
REC-00275,2024-08-15 15:54:04,Vaughan-North,PKG-Line-G,VAU-SHT-5200-01,Croissant Laminator,Sheeting/Laminating,Fritsch,CTL-800,2019,6075,66.4,25.3,4.47,1717,56.3,18.4,102.7,74.8,97.2,Pound Cake,B-20240815-7830,5836,225,3.87,66,2024-01-10,Predictive,218,v4.0.2,Offline — Sensor #1,E2008,Oven zone temperature inconsistency,OP-1046,Afternoon (2PM-10PM),846,70.9,2,Degraded Performance,Inspect heating elements and thermocouples
REC-00346,2024-08-15 17:14:14,Milton-South,CKE-Line-B,MIL-CNV-1400-04,Incline Conveyor,Conveying,Dorner,AquaPruf 7400,2019,49273,77.3,19.8,9.76,3243,10.7,10.9,75.1,61.2,90.3,English Muffins,B-20240815-3264,21928,541,2.47,26,2023-12-14,Overhaul,245,v5.2.0,Offline — Sensor #1,E2002,Hydraulic pressure out of range,OP-1036,Afternoon (2PM-10PM),2898,63.7,2,Degraded Performance,Check hydraulic lines and seals
REC-00231,2024-08-16 11:40:09,Mississauga-East,PKG-Line-H,MIS-PKG-0300-01,Palletizer Robot,Packaging,FANUC,M-410iC,2021,49948,115.5,19.3,9.99,325,69.2,7.5,88.4,101.3,99.2,Muffins,B-20240816-1369,3239,138,4.27,345,2023-12-14,Inspection,246,v3.4.0,Degraded — Sensor #5,E3003,PLC controller unresponsive,OP-1013,Afternoon (2PM-10PM),1440,24.5,3,Critical Failure,Replace PLC module — full system restart
REC-00055,2024-08-16 21:33:21,Vaughan-North,DON-Line-A,VAU-FRZ-9200-04,Tunnel Freezer,Freezing,Starfrost,IQF Helix,2021,59975,87.4,18.4,16.53,505,109.5,20.2,122.9,75.5,87.2,Pound Cake,B-20240816-3273,23619,1556,6.59,203,2024-02-19,Inspection,179,v6.0.1,Offline — Sensor #1,E3007,Freezer compressor seized,OP-1006,Morning (6AM-2PM),5116,20.6,3,Critical Failure,Transfer product — emergency compressor replacement
REC-00193,2024-08-21 03:45:03,Brampton-West,BUN-Line-B,BRA-CLR-8100-01,Spiral Cooler,Cooling,IJ White,Ultra Spiral,2018,29497,43.7,28.7,1.22,150,17.6,26.0,90.7,30.3,82.7,Cinnamon Rolls,B-20240821-4553,19795,267,1.35,0,2024-03-16,Inspection,158,v6.0.1,All Normal,E1007,Minor speed fluctuation logged,OP-1029,Morning (6AM-2PM),2474,82.1,1,Normal Operation,Log and monitor
REC-00416,2024-08-21 23:13:17,Toronto-Main,PAS-Line-C,TOR-DEC-3400-01,Icing Applicator,Decorating,FLM,SprayMaster 200,2020,19573,51.4,24.8,1.75,2372,14.6,29.8,30.6,34.7,79.0,Flatbread,B-20240821-3085,946,9,0.98,0,2023-09-02,Predictive,354,v3.4.0,Degraded — Sensor #5,E1007,Minor speed fluctuation logged,OP-1013,Afternoon (2PM-10PM),118,89.4,1,Normal Operation,Log and monitor
REC-00272,2024-08-22 11:54:07,Mississauga-East,TRT-Line-A,MIS-ING-8900-03,Flour Sifter,Ingredient Handling,Kason,Vibroscreen,2016,29479,86.2,21.9,8.33,2261,18.4,6.1,72.5,59.0,102.2,Pita,B-20240822-6656,21758,565,2.6,59,2024-01-29,Calibration,206,v4.1.1,Degraded — Sensor #5,E2009,Freezer compressor cycling abnormally,OP-1006,Morning (6AM-2PM),3101,55.2,2,Degraded Performance,Check refrigerant charge and compressor
REC-00409,2024-08-23 05:50:07,Vaughan-North,DON-Line-B,VAU-WTR-7700-03,Reverse Osmosis Unit,Water Treatment,Pentair,RO-4800,2017,10637,63.5,24.9,3.93,2603,33.0,7.0,74.4,41.8,72.6,Cinnamon Rolls,B-20240823-6713,16367,183,1.12,0,2024-05-13,Predictive,102,v5.0.0,Offline — Sensor #1,E1001,Minor vibration threshold exceeded,OP-1019,Night (10PM-6AM),2046,88.9,1,Normal Operation,Monitor during next shift
REC-00310,2024-08-25 08:44:55,Mississauga-East,TRT-Line-B,MIS-DEP-1200-04,Piston Depositor,Depositing,Hinds-Bock,4P-16,2018,32385,51.9,30.8,2.42,117,12.7,16.0,114.3,52.1,83.5,Flatbread,B-20240825-7113,13084,65,0.5,0,2024-03-21,Inspection,157,v5.0.0,Degraded — Sensor #2,E1006,Sensor reading intermittent,OP-1027,Morning (6AM-2PM),1636,85.1,1,Normal Operation,Clean sensor housing
REC-00423,2024-08-25 23:24:08,Brampton-West,BUN-Line-B,BRA-SHT-5200-04,Croissant Laminator,Sheeting/Laminating,Fritsch,CTL-800,2019,56661,44.4,28.3,3.93,1462,48.1,25.8,61.1,61.9,83.1,Brioche,B-20240825-9459,964,4,0.42,0,2024-06-24,Calibration,62,v5.2.0,All Normal,E0000,No fault detected,OP-1005,Morning (6AM-2PM),120,92.5,1,Normal Operation,None required
REC-00088,2024-08-27 13:46:27,Vaughan-North,DON-Line-B,VAU-CNV-1400-03,Incline Conveyor,Conveying,Dorner,AquaPruf 7400,2019,25638,48.3,24.3,3.55,2372,10.1,4.9,31.7,54.9,76.9,English Muffins,B-20240827-7311,904,1,0.15,0,2024-07-03,Emergency,55,v5.2.0,All Normal,E1004,Filter change indicator active,OP-1050,Morning (6AM-2PM),113,85.0,1,Normal Operation,Replace filter at next maintenance window
REC-00344,2024-08-28 00:40:27,Brampton-West,BUN-Line-A,BRA-FRY-9900-03,Continuous Fryer,Frying,Heat and Control,MasterFryer,2018,43122,38.1,30.8,1.69,198,79.4,12.8,65.9,42.9,83.4,Flatbread,B-20240828-2841,16615,127,0.77,0,2023-11-23,Predictive,279,v3.4.0,Offline — Sensor #1,E0000,No fault detected,OP-1007,Afternoon (2PM-10PM),2077,84.3,1,Normal Operation,None required
REC-00181,2024-08-30 12:05:41,Brampton-West,FRZ-Line-C,BRA-CNV-1300-05,Modular Belt Conveyor,Conveying,Intralox,Series 2400,2018,18374,37.8,29.1,2.1,808,7.9,27.2,111.4,66.9,66.9,Bagels,B-20240830-1612,24446,337,1.38,0,2024-05-02,Calibration,120,v3.4.0,All Normal,E1004,Filter change indicator active,OP-1050,Afternoon (2PM-10PM),3056,93.6,1,Normal Operation,Replace filter at next maintenance window
REC-00187,2024-08-31 21:34:48,Toronto-Main,PAS-Line-C,TOR-PKG-0400-03,Labeling System,Packaging,Videojet,9550,2020,42975,59.4,31.3,3.0,1023,7.9,27.1,105.4,34.0,72.6,Cinnamon Rolls,B-20240831-7837,8376,110,1.32,0,2024-03-29,Predictive,155,v5.2.0,All Normal,E1004,Filter change indicator active,OP-1039,Afternoon (2PM-10PM),1047,97.1,1,Normal Operation,Replace filter at next maintenance window
REC-00010,2024-09-01 13:31:03,Toronto-Main,BRD-Line-A,TOR-CLR-8100-01,Spiral Cooler,Cooling,IJ White,Ultra Spiral,2018,40996,47.1,26.7,4.27,1817,19.7,17.8,61.1,41.7,78.4,English Muffins,B-20240901-4910,9203,78,0.85,10,2024-07-28,Calibration,35,v4.0.2,All Normal,E1003,Lubrication reminder triggered,OP-1030,Afternoon (2PM-10PM),1175,91.5,1,Normal Operation,Schedule lubrication
REC-00116,2024-09-01 16:10:13,Vaughan-North,PKG-Line-G,VAU-PKG-0200-02,Case Packer,Packaging,Brenton,M2000,2019,48345,41.7,22.1,2.86,827,36.4,28.6,143.3,47.6,84.9,Whole Wheat Bread,B-20240901-3983,20239,52,0.26,0,2023-11-18,Lubrication,288,v4.1.1,Degraded — Sensor #2,E1005,Belt tension marginal,OP-1032,Morning (6AM-2PM),2530,93.7,1,Normal Operation,Inspect belt at next downtime
REC-00358,2024-09-06 14:55:33,Vaughan-North,FRY-Line-C,VAU-CNV-1400-01,Incline Conveyor,Conveying,Dorner,AquaPruf 7400,2019,38759,44.7,30.6,4.45,704,10.0,10.9,123.0,60.3,70.3,White Bread,B-20240906-8381,4619,65,1.41,0,2023-11-05,Inspection,306,v3.4.0,All Normal,E1002,Slight temperature drift detected,OP-1014,Night (10PM-6AM),577,82.2,1,Normal Operation,Recalibrate sensor at next PM
REC-00312,2024-09-07 18:27:01,Toronto-Main,BRD-Line-A,TOR-SHT-5200-04,Croissant Laminator,Sheeting/Laminating,Fritsch,CTL-800,2019,28061,50.6,22.2,1.26,2283,43.8,12.7,60.0,48.5,82.5,Hamburger Buns,B-20240907-2790,21346,134,0.63,0,2023-09-11,Lubrication,362,v4.0.2,All Normal,E1001,Minor vibration threshold exceeded,OP-1048,Morning (6AM-2PM),2668,86.0,1,Normal Operation,Monitor during next shift
REC-00432,2024-09-11 01:19:13,Vaughan-North,DON-Line-A,VAU-QC-5700-01,Checkweigher,Quality Control,Ishida,DACS-G,2020,24694,84.1,27.6,4.07,147,11.4,28.9,72.2,64.7,87.6,Tortillas,B-20240911-2899,20279,531,2.62,88,2023-09-25,Inspection,352,v5.1.3,Offline — Sensor #1,E2007,Servo motor position error,OP-1046,Afternoon (2PM-10PM),3104,68.7,2,Degraded Performance,Recalibrate servo — check encoder
REC-00101,2024-09-14 03:13:20,Toronto-Main,PKG-Line-D,TOR-PKG-0100-02,Flow Wrapper,Packaging,Bosch,Pack 401,2020,30130,35.0,24.2,2.41,133,31.3,24.9,148.5,49.0,67.6,Hamburger Buns,B-20240914-4751,13052,26,0.2,0,2023-10-14,Corrective,336,v3.4.0,Degraded — Sensor #2,E1001,Minor vibration threshold exceeded,OP-1021,Afternoon (2PM-10PM),1632,90.3,1,Normal Operation,Monitor during next shift
REC-00029,2024-09-14 18:02:59,Milton-South,MIX-Line-C,MIL-QC-5600-01,Metal Detector,Quality Control,Mettler-Toledo,Safeline,2019,32716,63.3,30.5,2.5,3108,7.1,9.0,31.9,73.3,81.7,White Bread,B-20240914-5415,19382,143,0.74,0,2023-09-27,Preventive,353,v4.0.2,All Normal,E1006,Sensor reading intermittent,OP-1034,Night (10PM-6AM),2423,91.6,1,Normal Operation,Clean sensor housing
REC-00429,2024-09-15 11:16:20,Milton-South,CKE-Line-B,MIL-OVN-6300-02,Spiral Oven,Baking,Spooner,QuadraTherm,2020,45477,89.1,23.5,5.86,1986,64.4,6.1,134.8,43.6,82.0,Cinnamon Rolls,B-20240915-4331,14804,618,4.18,117,2024-03-28,Corrective,171,v4.1.1,Degraded — Sensor #2,E2001,Motor overheating — thermal cutoff warning,OP-1044,Night (10PM-6AM),2447,64.3,2,Degraded Performance,Reduce load and inspect cooling system
REC-00219,2024-09-18 01:23:23,Milton-South,CKE-Line-B,MIL-QC-5600-02,Metal Detector,Quality Control,Mettler-Toledo,Safeline,2019,62665,58.7,24.8,3.03,126,5.6,27.9,111.9,56.7,70.7,Pound Cake,B-20240918-3079,7255,40,0.56,0,2023-11-25,Predictive,298,v5.0.0,All Normal,E1001,Minor vibration threshold exceeded,OP-1027,Morning (6AM-2PM),907,82.3,1,Normal Operation,Monitor during next shift
REC-00322,2024-09-18 07:48:17,Toronto-Main,BRD-Line-A,TOR-PKG-0400-04,Labeling System,Packaging,Videojet,9550,2020,13772,52.8,19.7,4.38,1724,9.9,21.3,144.1,59.4,72.5,Hamburger Buns,B-20240918-8596,21809,205,0.94,0,2024-08-22,Calibration,27,v5.0.0,All Normal,E1005,Belt tension marginal,OP-1024,Morning (6AM-2PM),2726,85.9,1,Normal Operation,Inspect belt at next downtime
REC-00255,2024-09-21 06:38:26,Mississauga-East,TRT-Line-A,MIS-MIX-3100-05,Industrial Dough Mixer,Mixing,VMI,Phebus K1600,2018,30518,63.6,22.0,8.28,2124,58.8,14.1,46.9,39.7,100.6,Muffins,B-20240921-7853,6410,139,2.17,119,2024-02-01,Calibration,233,v4.0.2,All Normal,E2008,Oven zone temperature inconsistency,OP-1019,Afternoon (2PM-10PM),1065,76.1,2,Degraded Performance,Inspect heating elements and thermocouples
REC-00494,2024-09-21 19:07:59,Toronto-Main,PAS-Line-C,TOR-QC-5600-05,Metal Detector,Quality Control,Mettler-Toledo,Safeline,2019,39480,64.1,30.4,4.29,382,6.5,19.5,108.1,71.3,67.2,Muffins,B-20240921-6254,10079,85,0.85,0,2024-06-19,Corrective,94,v5.1.3,All Normal,E0000,No fault detected,OP-1002,Night (10PM-6AM),1260,97.8,1,Normal Operation,None required
REC-00028,2024-09-27 00:14:19,Mississauga-East,TRT-Line-A,MIS-PRF-7200-01,Retarder Proofer,Proofing,Revent,RPM-7020,2017,28772,43.7,21.3,1.43,1183,25.8,19.5,106.0,72.0,73.5,Artisan Sourdough,B-20240927-4683,21721,230,1.06,0,2024-02-09,Predictive,231,v5.0.0,Degraded — Sensor #5,E1007,Minor speed fluctuation logged,OP-1005,Morning (6AM-2PM),2715,83.1,1,Normal Operation,Log and monitor
REC-00220,2024-09-28 03:39:21,Mississauga-East,TRT-Line-A,MIS-CLR-8100-04,Spiral Cooler,Cooling,IJ White,Ultra Spiral,2018,42111,45.4,31.7,0.52,2635,16.5,23.3,90.2,39.9,80.4,Muffins,B-20240928-5528,2238,7,0.35,0,2024-08-13,Overhaul,46,v3.4.0,Degraded — Sensor #5,E1004,Filter change indicator active,OP-1044,Afternoon (2PM-10PM),280,97.8,1,Normal Operation,Replace filter at next maintenance window
REC-00080,2024-09-29 01:26:18,Vaughan-North,PKG-Line-G,VAU-DIV-4200-03,Rotary Moulder,Dividing/Portioning,Baker Perkins,TruClean,2017,63707,55.9,24.6,2.13,3578,29.2,26.0,38.8,50.8,66.2,Naan,B-20240929-7824,18761,84,0.45,0,2023-11-04,Predictive,330,v5.2.0,Offline — Sensor #1,E1005,Belt tension marginal,OP-1017,Morning (6AM-2PM),2345,94.1,1,Normal Operation,Inspect belt at next downtime
REC-00493,2024-09-29 04:36:01,Milton-South,MIX-Line-C,MIL-OVN-6100-05,Tunnel Oven,Baking,GEA,ThermoGlide 3000,2016,12473,51.0,27.8,2.97,1251,100.3,27.3,146.9,59.9,67.9,Pita,B-20240929-2590,1790,4,0.24,5,2024-07-13,Predictive,78,v5.2.0,All Normal,E1001,Minor vibration threshold exceeded,OP-1025,Afternoon (2PM-10PM),226,92.1,1,Normal Operation,Monitor during next shift
REC-00439,2024-10-04 11:31:37,Brampton-West,PKG-Line-E,BRA-DEC-3400-03,Icing Applicator,Decorating,FLM,SprayMaster 200,2020,51235,44.6,28.7,1.95,1401,12.0,16.9,49.3,48.2,80.1,Bagels,B-20241004-8363,5643,9,0.16,15,2024-06-14,Predictive,112,v5.2.0,All Normal,E1004,Filter change indicator active,OP-1001,Night (10PM-6AM),728,97.4,1,Normal Operation,Replace filter at next maintenance window
REC-00454,2024-10-13 01:14:16,Milton-South,PKG-Line-F,MIL-FRZ-9200-04,Tunnel Freezer,Freezing,Starfrost,IQF Helix,2021,25737,42.7,24.0,3.49,3401,69.4,3.3,88.7,71.1,75.2,White Bread,B-20241013-8163,1551,0,0.03,0,2024-04-25,Lubrication,171,v6.0.1,All Normal,E1004,Filter change indicator active,OP-1037,Afternoon (2PM-10PM),194,92.3,1,Normal Operation,Replace filter at next maintenance window
REC-00264,2024-10-14 12:33:29,Toronto-Main,PAS-Line-C,TOR-OVN-6100-04,Tunnel Oven,Baking,GEA,ThermoGlide 3000,2016,37020,35.4,31.5,3.12,2565,102.2,10.5,125.7,57.8,78.8,Flatbread,B-20241014-5958,3371,23,0.69,0,2024-10-04,Predictive,10,v4.0.2,All Normal,E1001,Minor vibration threshold exceeded,OP-1013,Morning (6AM-2PM),421,95.9,1,Normal Operation,Monitor during next shift
REC-00368,2024-10-15 19:24:34,Milton-South,CKE-Line-B,MIL-SHT-5100-02,Dough Sheeter,Sheeting/Laminating,Rademaker,Sigma Laminator,2021,45054,38.7,25.9,1.77,1417,31.0,17.7,70.1,57.1,75.5,Hot Dog Buns,B-20241015-5555,23970,4,0.02,0,2024-04-07,Corrective,191,v5.2.0,All Normal,E1005,Belt tension marginal,OP-1021,Afternoon (2PM-10PM),2996,85.4,1,Normal Operation,Inspect belt at next downtime
REC-00428,2024-10-16 04:34:29,Toronto-Main,PKG-Line-D,TOR-QC-5700-05,Checkweigher,Quality Control,Ishida,DACS-G,2020,39746,49.2,27.5,1.47,1329,7.2,28.0,50.5,72.1,83.5,Hot Dog Buns,B-20241016-7897,14455,157,1.09,10,2023-10-26,Emergency,356,v5.2.0,All Normal,E1006,Sensor reading intermittent,OP-1011,Night (10PM-6AM),1845,87.4,1,Normal Operation,Clean sensor housing
REC-00262,2024-10-16 11:50:56,Vaughan-North,PKG-Line-G,VAU-SHT-5200-01,Croissant Laminator,Sheeting/Laminating,Fritsch,CTL-800,2019,35642,114.1,25.3,20.13,1290,51.0,4.2,124.2,82.0,104.6,Bagels,B-20241016-5073,17640,2511,14.24,659,2024-04-24,Calibration,175,v5.0.0,Offline — Sensor #1,E3004,Hydraulic line rupture,OP-1036,Morning (6AM-2PM),17640,34.6,3,Critical Failure,Lockout/tagout — repair hydraulic line immediately
REC-00359,2024-10-18 12:21:28,Vaughan-North,DON-Line-B,VAU-CNV-1400-02,Incline Conveyor,Conveying,Dorner,AquaPruf 7400,2019,24812,128.0,25.0,14.29,610,14.6,20.2,79.3,86.4,88.8,Artisan Sourdough,B-20241018-7977,17643,1411,8.0,429,2024-07-02,Lubrication,108,v3.4.0,Degraded — Sensor #2,E3010,Food safety contamination alarm,OP-1030,Afternoon (2PM-10PM),17643,49.3,3,Critical Failure,Full line quarantine — QA investigation required
REC-00499,2024-10-19 08:32:57,Brampton-West,FRZ-Line-C,BRA-FRZ-9200-02,Tunnel Freezer,Freezing,Starfrost,IQF Helix,2021,27864,78.0,22.8,7.04,1086,82.0,20.3,145.9,41.3,98.9,Hamburger Buns,B-20241019-2009,2557,63,2.5,69,2023-11-28,Inspection,326,v5.1.3,All Normal,E2005,Gearbox noise anomaly,OP-1040,Afternoon (2PM-10PM),373,61.8,2,Degraded Performance,Inspect gearbox — replace bearings if worn
REC-00305,2024-10-21 10:50:39,Mississauga-East,TRT-Line-B,MIS-FRY-9900-04,Continuous Fryer,Frying,Heat and Control,MasterFryer,2018,63533,38.2,23.4,1.79,1979,79.0,20.4,56.2,58.1,65.9,Muffins,B-20241021-7735,10380,2,0.02,15,2024-03-15,Inspection,220,v3.4.0,Degraded — Sensor #5,E1003,Lubrication reminder triggered,OP-1017,Morning (6AM-2PM),1339,87.1,1,Normal Operation,Schedule lubrication
REC-00128,2024-10-22 00:33:01,Milton-South,CKE-Line-B,MIL-FRY-9900-04,Continuous Fryer,Frying,Heat and Control,MasterFryer,2018,61410,60.4,24.6,3.86,3134,81.2,24.6,119.2,38.2,78.6,English Muffins,B-20241022-2463,7782,101,1.31,0,2023-11-13,Lubrication,344,v4.1.1,All Normal,E1004,Filter change indicator active,OP-1027,Afternoon (2PM-10PM),973,86.7,1,Normal Operation,Replace filter at next maintenance window
REC-00131,2024-10-23 01:12:53,Toronto-Main,BRD-Line-A,TOR-DEP-1100-02,Servo Depositor,Depositing,Unifiller,Multi-Station,2020,47450,46.5,22.1,2.85,3081,15.2,16.7,76.4,60.9,67.7,Pound Cake,B-20241023-6885,6674,16,0.25,0,2024-04-29,Predictive,177,v5.2.0,All Normal,E1001,Minor vibration threshold exceeded,OP-1015,Morning (6AM-2PM),834,86.8,1,Normal Operation,Monitor during next shift
REC-00053,2024-10-25 06:28:26,Brampton-West,BUN-Line-B,BRA-PRF-7100-01,Continuous Proofer,Proofing,Auto-Bake,SerpSystem,2019,21385,54.9,20.3,4.01,3505,22.3,19.5,137.3,62.5,65.9,Brioche,B-20241025-4891,15055,140,0.93,10,2024-09-03,Emergency,52,v6.0.1,Offline — Sensor #1,E0000,No fault detected,OP-1035,Morning (6AM-2PM),1922,88.0,1,Normal Operation,None required
REC-00352,2024-10-29 17:47:28,Milton-South,PKG-Line-F,MIL-PKG-0400-02,Labeling System,Packaging,Videojet,9550,2020,48049,61.9,29.1,2.51,2053,10.5,25.9,57.7,36.8,74.3,Hamburger Buns,B-20241029-4794,7566,56,0.75,0,2023-11-18,Predictive,346,v4.0.2,All Normal,E1006,Sensor reading intermittent,OP-1029,Morning (6AM-2PM),946,82.4,1,Normal Operation,Clean sensor housing
REC-00094,2024-11-02 12:47:17,Vaughan-North,PKG-Line-G,VAU-CNV-1400-01,Incline Conveyor,Conveying,Dorner,AquaPruf 7400,2019,48185,52.3,24.4,3.7,1174,11.0,15.7,145.6,44.1,72.8,Flatbread,B-20241102-2871,11900,96,0.81,0,2024-07-15,Lubrication,110,v6.0.1,Degraded — Sensor #5,E1001,Minor vibration threshold exceeded,OP-1044,Night (10PM-6AM),1488,87.2,1,Normal Operation,Monitor during next shift
REC-00369,2024-11-03 19:34:58,Brampton-West,BUN-Line-A,BRA-WTR-7700-04,Reverse Osmosis Unit,Water Treatment,Pentair,RO-4800,2017,5066,48.6,22.0,2.91,2736,46.8,18.1,20.6,50.8,67.6,Flatbread,B-20241103-1606,17980,160,0.89,0,2024-06-15,Preventive,141,v5.1.3,All Normal,E1001,Minor vibration threshold exceeded,OP-1005,Afternoon (2PM-10PM),2248,91.2,1,Normal Operation,Monitor during next shift
REC-00125,2024-11-05 07:21:01,Milton-South,MIX-Line-C,MIL-QC-5700-05,Checkweigher,Quality Control,Ishida,DACS-G,2020,28014,95.9,22.9,16.31,769,15.6,9.2,128.0,73.6,80.7,Whole Wheat Bread,B-20241105-3669,19251,1715,8.91,605,2023-12-15,Overhaul,326,v4.1.1,Degraded — Sensor #2,E3001,Main drive motor failure,OP-1044,Morning (6AM-2PM),19251,32.3,3,Critical Failure,Replace motor — line down until repair
REC-00292,2024-11-05 07:50:19,Brampton-West,FRZ-Line-C,BRA-CLR-8100-02,Spiral Cooler,Cooling,IJ White,Ultra Spiral,2018,60024,85.4,30.7,5.48,185,24.8,5.8,105.1,69.8,88.5,Muffins,B-20241105-5998,15448,338,2.19,37,2024-06-23,Overhaul,135,v5.1.3,Degraded — Sensor #5,E2006,PLC communication intermittent,OP-1043,Morning (6AM-2PM),2092,77.8,2,Degraded Performance,Check wiring harness and PLC module
REC-00082,2024-11-13 16:48:09,Vaughan-North,DON-Line-B,VAU-PKG-0200-03,Case Packer,Packaging,Brenton,M2000,2019,26947,44.3,31.7,1.94,2023,37.0,11.0,46.4,44.1,65.9,Cinnamon Rolls,B-20241113-3390,1031,13,1.32,0,2024-03-19,Emergency,239,v5.2.0,All Normal,E1005,Belt tension marginal,OP-1010,Morning (6AM-2PM),129,83.6,1,Normal Operation,Inspect belt at next downtime
REC-00270,2024-11-15 01:21:12,Milton-South,CKE-Line-B,MIL-SLC-2200-04,Band Slicer,Slicing,Grote,S/A Slicer,2017,51936,39.6,24.1,1.95,1802,25.6,2.2,128.5,51.3,70.7,Donuts,B-20241115-2396,9216,113,1.23,0,2024-02-29,Lubrication,260,v5.2.0,All Normal,E1001,Minor vibration threshold exceeded,OP-1041,Night (10PM-6AM),1152,95.6,1,Normal Operation,Monitor during next shift
REC-00279,2024-11-15 16:57:59,Brampton-West,PKG-Line-E,BRA-SHT-5200-05,Croissant Laminator,Sheeting/Laminating,Fritsch,CTL-800,2019,41770,49.7,30.0,4.24,1399,37.2,4.5,147.4,54.4,70.7,Donuts,B-20241115-5187,3436,17,0.51,0,2024-06-03,Predictive,165,v5.0.0,All Normal,E0000,No fault detected,OP-1044,Morning (6AM-2PM),430,88.6,1,Normal Operation,None required
REC-00246,2024-11-15 20:49:06,Milton-South,PKG-Line-F,MIL-ING-8800-03,Ingredient Dosing System,Ingredient Handling,Brabender,FlexWall Plus,2020,12920,41.1,25.5,3.04,1277,17.2,10.3,94.6,66.2,77.5,Hamburger Buns,B-20241115-2552,19894,290,1.46,0,2024-01-05,Lubrication,315,v5.0.0,Degraded — Sensor #2,E1006,Sensor reading intermittent,OP-1037,Night (10PM-6AM),2487,95.4,1,Normal Operation,Clean sensor housing
REC-00041,2024-11-17 19:23:11,Mississauga-East,TRT-Line-B,MIS-FRZ-9200-03,Tunnel Freezer,Freezing,Starfrost,IQF Helix,2021,52749,60.1,29.2,9.15,550,88.3,2.7,21.9,65.5,85.9,English Muffins,B-20241117-1258,6209,124,2.01,31,2024-09-02,Emergency,76,v3.2.1,Degraded — Sensor #2,E2010,CIP cycle incomplete — residue detected,OP-1048,Afternoon (2PM-10PM),830,69.6,2,Degraded Performance,Re-run CIP cycle and inspect spray nozzles
REC-00268,2024-11-17 21:17:46,Milton-South,CKE-Line-A,MIL-CIP-6600-02,CIP System,Sanitation,Alfa Laval,CIP Unit A3,2018,13356,38.0,25.8,2.16,174,32.0,9.3,108.0,37.9,82.2,Danish Pastry,B-20241117-1523,2586,38,1.49,0,2024-08-06,Lubrication,103,v5.2.0,Degraded — Sensor #2,E1007,Minor speed fluctuation logged,OP-1040,Morning (6AM-2PM),323,85.8,1,Normal Operation,Log and monitor
